land,code_prefix,code_range
Rheinland-Pfalz,54,54290-54689
Rheinland-Pfalz,55,55116-55779
Rheinland-Pfalz,56,56068-56869
Rheinland-Pfalz,53,53424-53619
Rheinland-Pfalz,67,67059-67829
Rheinland-Pfalz,76,76726-76891
Rheinland-Pfalz,57,57518-57648
Rheinland-Pfalz,66,66482-66999
Rheinland-Pfalz,65,65326-65629
Rheinland-Pfalz,51,51598-51598
Baden-Württemberg,78,78048-78739
Baden-Württemberg,73,73033-73779
Baden-Württemberg,74,74072-74939
Baden-Württemberg,88,88045-88719
Baden-Württemberg,77,77652-77978
Baden-Württemberg,71,71032-71739
Baden-Württemberg,72,72070-72829
Baden-Württemberg,79,79098-79879
Baden-Württemberg,89,89073-89619
Baden-Württemberg,75,75015-75449
Baden-Württemberg,68,68159-68809
Baden-Württemberg,97,97877-97999
Baden-Württemberg,76,76131-76709
Baden-Württemberg,64,64754-64754
Baden-Württemberg,69,69115-69514
Baden-Württemberg,70,70173-70839
Baden-Württemberg,63,63928-63928
Nordrhein-Westfalen,52,52062-52538
Nordrhein-Westfalen,48,48143-48739
Nordrhein-Westfalen,59,59063-59969
Nordrhein-Westfalen,53,53111-53949
Nordrhein-Westfalen,46,46045-46569
Nordrhein-Westfalen,58,58089-58849
Nordrhein-Westfalen,33,33014-33829
Nordrhein-Westfalen,57,57072-57489
Nordrhein-Westfalen,32,32049-32839
Nordrhein-Westfalen,50,50126-50999
Nordrhein-Westfalen,47,47051-47929
Nordrhein-Westfalen,51,51061-51789
Nordrhein-Westfalen,37,37671-37696
Nordrhein-Westfalen,44,44135-44894
Nordrhein-Westfalen,34,34414-34439
Nordrhein-Westfalen,41,41061-41849
Nordrhein-Westfalen,45,45127-45968
Nordrhein-Westfalen,40,40210-40885
Nordrhein-Westfalen,42,42103-42929
Nordrhein-Westfalen,49,49477-49549
Hessen,65,65183-65936
Hessen,69,69239-69518
Hessen,34,34117-34639
Hessen,36,36037-36399
Hessen,35,35037-35799
Hessen,64,64283-64859
Hessen,63,63065-63776
Hessen,61,61118-61479
Hessen,37,37194-37299
Hessen,68,68519-68649
Hessen,59,59969-59969
Hessen,60,60308-60599
Hessen,55,55246-55252
Schlewig-Holstein,25,25335-25999
Schlewig-Holstein,24,24103-24999
Schlewig-Holstein,23,23552-23919
Schlewig-Holstein,22,22113-22969
Schlewig-Holstein,21,21039-21529
Schlewig-Holstein,27,27498-27498
Sachsen-Anhalt,29,29410-29416
Sachsen-Anhalt,38,38486-38899
Sachsen-Anhalt,06,06108-06928
Sachsen-Anhalt,39,39104-39649
Sachsen-Anhalt,14,14715-14715
Brandenburg,19,19309-19357
Brandenburg,16,16225-16949
Brandenburg,04,04895-04938
Brandenburg,14,14467-14979
Brandenburg,15,15230-15938
Brandenburg,17,17258-17337
Brandenburg,01,01945-01998
Brandenburg,03,03042-03253
Brandenburg,12,12529-12625
Bayern,91,91052-91809
Bayern,93,93047-93499
Bayern,94,94032-94579
Bayern,97,97070-97909
Bayern,83,83022-83739
Bayern,85,85049-85778
Bayern,82,82008-82549
Bayern,86,86150-86989
Bayern,84,84028-84579
Bayern,96,96047-96489
Bayern,95,95028-95709
Bayern,89,89081-89447
Bayern,87,87435-87789
Bayern,90,90402-90768
Bayern,92,92224-92729
Bayern,63,63739-63939
Bayern,88,88131-88179
Bayern,74,74594-74594
Bayern,80,80331-80999
Bayern,81,81241-81929
Sachsen,01,01067-01936
Sachsen,08,08056-08648
Sachsen,09,09111-09669
Sachsen,04,04103-04889
Sachsen,02,02625-02999
Sachsen,07,07919-07985
Thüringen,99,99084-99998
Thüringen,98,98527-98749
Thüringen,07,07318-07989
Thüringen,04,04600-04639
Thüringen,36,36404-36469
Thüringen,37,37308-37359
Thüringen,06,06556-06578
Thüringen,96,96515-96529
Niedersachsen,28,28790-28879
Niedersachsen,38,38100-38729
Niedersachsen,37,37073-37699
Niedersachsen,29,29221-29699
Niedersachsen,21,21217-21789
Niedersachsen,31,31008-31868
Niedersachsen,27,27211-27809
Niedersachsen,49,49074-49849
Niedersachsen,26,26121-26969
Niedersachsen,48,48455-48531
Niedersachsen,30,30159-30989
Niedersachsen,19,19273-19273
Niedersachsen,34,34346-34355
Mecklenburg-Vorpommern,17,17033-17509
Mecklenburg-Vorpommern,18,18055-18609
Mecklenburg-Vorpommern,19,19053-19417
Mecklenburg-Vorpommern,23,23923-23999
Saarland,66,66111-66839
Berlin,10,10115-10999
Berlin,12,12043-12689
Berlin,13,13051-13629
Berlin,14,14050-14199
Bremen,28,28195-28779
Bremen,27,27568-27580
Hamburg,20,20095-20539
Hamburg,21,21029-21149
Hamburg,22,22041-22769
Hamburg,27,27499-27499
